0.	-0.7776593861504502	-1.2585540852485329	0.	0.
0.01	-0.8147405928048315	-1.286237715087287	1.1013412404281553e-13	2.7533531010703882e-14
0.02	-0.8536851361655251	-1.3129737885308574	-1.4788170688007085e-13	3.907985046680551e-14
0.03	-0.8944562351338385	-1.3386579358912316	-3.8191672047105385e-14	1.98507876802978e-13
0.04	-0.9370104728688338	-1.363187946834826	8.881784197001252e-15	9.814371537686384e-14
0.05	-0.9812988825367381	-1.3864639932451712	5.928590951498336e-13	-2.7688962234151404e-13
0.06	-1.0272659275047298	-1.4083894684543656	1.6964207816272392e-13	5.644373857194296e-13
0.07	-1.0748499496549524	-1.4288713007772866	1.3145040611561853e-13	4.1677772344428377e-13
0.08	-1.123983335612916	-1.4478203824719134	-9.57456336436735e-13	3.7569947153315297e-13
0.09	-1.174592354076867	-1.4651519255966678	-7.602807272633072e-13	4.6407322429331543e-14
0.1	-1.226598831730544	-1.4807860959290644	1.0480505352461478e-13	2.5779378631796135e-13
0.11	-1.2799185046965098	-1.494647850636379	-3.019806626980426e-14	8.5131901528257e-13
0.12	-1.3344615249007585	-1.506668526293817	-9.530154443382344e-13	-3.248512570053208e-13
0.13	-1.3901342167587831	-1.5167847219526562	-5.595524044110789e-14	-1.0609291223317996e-12
0.14	-1.4468381612325905	-1.5249396570690843	-7.140954494389007e-13	-2.6290081223123707e-13
0.15	-1.5044708272229794	-1.5310833175742458	-1.071143174158351e-12	-7.907008381380365e-13
0.16	-1.562925472420046	-1.5351729393611566	-1.1102230246251565e-12	-1.0464962230116726e-12
0.17	-1.6220933475539505	-1.5371729030548378	-6.288303211476887e-13	-2.7622348852673895e-13
0.18	-1.6818613256457882	-1.5370557888601868	8.109068971862143e-13	-2.9523050670832163e-12
0.19	-1.7421140179752177	-1.534801977808434	2.5570656703166605e-12	-7.041034422172743e-12
0.2	-1.8027348214797367	-1.530401085869176	5.006661751849606e-12	-1.2100098700784656e-11
0.21	-1.863603774107787	-1.5238512142678733	1.1471712468846818e-11	-3.561884120983905e-11
0.22	-1.9246011063760395	-1.5151594338221461	3.3784530728553364e-11	-8.253553396286861e-11
0.23	-1.9856059980269025	-1.5043424576472342	8.119194205846725e-11	-1.8283641267657913e-10
0.24	-2.046497508097479	-1.49142676638763	1.6830181692739643e-10	-3.911417856272692e-10
0.25	-2.107154737667914	-1.4764492940264264	3.4851765917665034e-10	-8.163549836126549e-10
0.26	-2.167459026367167	-1.4594560760460777	7.215756880896151e-10	-1.6526771062785883e-9
0.27	-2.227292123858999	-1.4405049263057785	1.4459287100976326e-9	-3.2557889717566013e-9
0.28	-2.2865384610301858	-1.419664054950689	2.8326043732818107e-9	-6.264771368336142e-9
0.29	-2.345085339138362	-1.3970120808802604	5.437590822054972e-9	-1.1786864817509013e-8
0.3	-2.402823847388156	-1.372640737844327	1.0226110624955709e-8	-2.1700818475522965e-8
0.31	-2.4596492460214687	-1.3466513005052811	1.8912735377796253e-8	-3.915691326739079e-8
0.32	-2.5154619135168668	-1.3191572969025795	3.4382516389541706e-8	-6.933326535119022e-8
0.33	-2.5701681017279796	-1.2902840088426055	6.15672757220409e-8	-1.2061611887048684e-7
0.34	-2.6236806095985488	-1.2601686684857274	1.0863964217122657e-7	-2.0640126408011383e-7
0.35	-2.675919649220761	-1.2289611988427378	1.890806036186632e-7	-3.476981937922119e-7
0.36	-2.7268141770391257	-1.1968216545269188	3.248304771830135e-7	-5.771554381084343e-7
0.37	-2.7763018991542783	-1.1639243762920621	5.512035938792792e-7	-9.447272404372598e-7
0.38	-2.824330818639006	-1.1304553354587616	9.243916281320708e-7	-1.5260434009789492e-6
0.39	-2.8708600339643535	-1.0966128577821346	1.5330213907205348e-6	-2.4342646876007734e-6
0.4	-2.9158601992688133	-1.0626071206947278	2.515396997360142e-6	-3.836856430794455e-6
0.41	-2.9593166498269214	-1.0286623185254014	4.085388995100914e-6	-5.978996190592056e-6
0.42	-3.001227322113709	-0.9950133325598021	6.570899581781475e-6	-9.216116822585718e-6
0.43	-3.041605971619079	-0.961907823402786	0.000010470224317771226	-0.000014058443145614774
0.44	-3.080482656530255	-0.9296057767283656	0.00001653468689699622	-0.00002123147882926446
0.45	-3.117905477200135	-0.8983797738854653	0.00002588810282055931	-0.0000317573010217842
0.46	-3.1539401817554467	-0.8685119713306699	0.00004019939283139706	-0.00004706286007483129
0.47	-3.1886736432261076	-0.840298269881397	0.00006192881007383022	-0.00006912269856229614
0.48	-3.222213699684702	-0.8140448559473512	0.00009467892550230061	-0.00010064490847305763
0.49	-3.254690844276504	-0.7900684254709409	0.00014369044774831252	-0.00014531069199641422
0.5	-3.2862596077586304	-0.7686954356971079	0.00021653947444821853	-0.00020808009163708618
0.51	-3.3170999791277076	-0.750261141620026	0.00032411271553201004	-0.00029557483669506723
0.52	-3.3474188848871336	-0.7351081868346547	0.00048196496585539705	-0.00041655325466294357
0.53	-3.377450917763074	-0.7235853002650128	0.0007121982946376448	-0.0005824861327585751
0.54	-3.407463505945575	-0.7160443675691077	0.001046054842678501	-0.0008082423361752689
0.55	-3.4377533783018936	-0.7128378047123203	0.0015274750161129447	-0.0011128793866266307
0.56	-3.4686521741491667	-0.7143144375434272	0.002217964904671632	-0.0015205237295212726
0.57	-3.500527850909064	-0.720814143723258	0.003203227942554676	-0.002061295773794214
0.58	-3.533788384043307	-0.7326610768387258	0.004602171143735845	-0.0027721935736231273
0.59	-3.568881388561893	-0.7501531959166048	0.006579096230465709	-0.0036977814001524223
